step,Adam,Hybrid v3.9,Global Hybrid
0,4597.414143757691,4196.370220962245,2164.131562713111
1,4596.708242052279,4196.1725487008825,2163.395637384953
2,4596.002296906414,4195.893108785323,2162.6155233827194
3,4595.2963076787455,4195.559986041388,2158.7835717434746
4,4594.590273733539,4195.192185550131,2154.5083674225352
5,4593.884194442286,4194.8026572683975,2153.4015709528658
6,4593.178069185255,4194.400311334669,2150.733256560048
7,4592.471897352977,4193.991361254365,2147.4685222641956
8,4591.765678347662,4193.580218735769,2143.4797205699256
9,4591.059411584533,4193.170088725582,2142.6119863485
10,4590.353096493069,4192.763363565918,2138.938795679923
11,4589.646732518149,4192.361882349029,2133.5140888810965
12,4588.9403191210995,4191.967099717792,2129.8070019015663
13,4588.23385578062,4191.580193814363,2128.2565328311225
14,4587.527341993619,4191.202133382064,2125.2075209579557
15,4586.820777275917,4190.833717584316,2120.2950734092765
16,4586.114161162848,4190.475597898419,2115.490605755157
17,4585.4074932097465,4190.128288912943,2113.3427500274047
18,4584.7007729923225,4189.79217411779,2109.7988910801796
19,4583.994000106936,4189.467516412225,2105.7326205924646
20,4583.287174170766,4189.1545148485775,2101.178057940352
21,4582.58029482187,4188.853021100925,2097.0946449510557
22,4581.873361719163,4188.558985311087,2093.147609031716
23,4581.1663745423175,4188.270025591763,2090.5984496434617
24,4580.459332991551,4187.983766652672,2087.9467511490893
25,4579.752236787379,4187.700727858464,2084.3531296767633
26,4579.04508567027,4187.420963239005,2080.072771079867
27,4578.337879400264,4187.144435648746,2075.9636928434593
28,4577.6306177565175,4186.8710745004355,2073.317856917679
29,4576.923300536813,4186.600788777851,2070.2634510259604
30,4576.215927557035,4186.333469504217,2068.009212288502
31,4575.508498650597,4186.068990845256,2067.707512856998
32,4574.80101366786,4185.807218559663,2063.597773729947
33,4574.093472475518,4185.54807102867,2059.8417385061766
34,4573.385874955969,4185.290943337818,2058.6943169384153
35,4572.678221006688,4185.031441090551,2053.1163811733454
36,4571.9705105395715,4184.769745808613,2049.412063156691
37,4571.262743480305,4184.505985209848,2046.307532702397
38,4570.554919767724,4184.240137580153,2044.4348692749672
39,4569.84703935317,4183.972145412104,2040.0676521343912
40,4569.139102199881,4183.701932470231,2038.7786097375106
41,4568.431108282363,4183.429403422977,2035.0011724876003
42,4567.723057585798,4183.154449625763,2032.146045751083
43,4567.014950105466,4182.877031042642,2030.063952789376
44,4566.306785846168,4182.5960124455,2026.7207664458047
45,4565.598564821685,4182.307271456844,2022.9381804732466
46,4564.890287054255,4182.0112013650405,2019.0548919446678
47,4564.181952574064,4181.707823493568,2015.320404164192
48,4563.473561418754,4181.397046867325,2012.144285343822
49,4562.765113632968,4181.078851821199,2009.431945366684
50,4562.0566092679,4180.7521564471845,2005.5606691874777
51,4561.348048380876,4180.412936352446,2003.7245244507599
52,4560.639431034959,4180.061738007089,2002.0542124431458
53,4559.930757298561,4179.698795494481,1998.28661728807
54,4559.222027245081,4179.324281796219,1996.2659230269237
55,4558.513240952588,4178.93840586581,1991.044806493006
56,4557.804398503466,4178.541436223017,1988.3496944436752
57,4557.095499984144,4178.133708557177,1984.1178668367447
58,4556.386545484801,4177.715628807932,1981.1117732885805
59,4555.67753509909,4177.287674556694,1980.0572460435096
60,4554.968468923912,4176.850395461386,1977.9511941745723
61,4554.259347059155,4176.404412898324,1974.3301037767042
62,4553.550169607503,4175.950418822894,1972.0195053483708
63,4552.840936674214,4175.489173831868,1969.1147429123976
64,4552.131648366934,4175.021504418559,1965.399569657924
65,4551.422304795523,4174.548299429929,1963.7699757839819
66,4550.712906071885,4174.070505752624,1961.5597179276474
67,4550.003452309827,4173.58912326925,1961.5597179276474
68,4549.293943624889,4173.1051991359745,1959.4278944261914
69,4548.584380134247,4172.619821437457,1954.871023250002
70,4547.8747619565665,4172.134112275733,1951.6348467555804
71,4547.16508921189,4171.649220346555,1948.4406819491205
72,4546.455362021536,4171.166313050884,1945.9359219900662
73,4545.745580508017,4170.6865681817135,1943.4749343595595
74,4545.035744794909,4170.211165218469,1941.0515048656898
75,4544.3258550068085,4169.741276254042,1938.4763829033063
76,4543.615911269239,4169.2780565742005,1935.8348615633531
77,4542.905913708571,4168.822634906977,1932.4205282994021
78,4542.195862451969,4168.376103361418,1929.585521142758
79,4541.485757627333,4167.939507081922,1927.5353417338192
80,4540.775599363229,4167.5138336572145,1923.76552259253
81,4540.065387788848,4167.100002343265,1921.0018846245039
82,4539.355123033954,4166.698853190616,1918.3399220524934
83,4538.644805228844,4166.311136217383,1915.4598775772251
84,4537.934434504305,4165.937500865378,1914.8294212669625
85,4537.224010991576,4165.578486200292,1911.3440357169584
86,4536.51353482232,4165.234512967762,1909.1975880627988
87,4535.803006128584,4164.905881061496,1907.4621873797382
88,4535.092425042778,4164.592789372073,1904.08622257683
89,4534.381791697646,4164.295598214177,1901.4297570746621
90,4533.6711062262375,4164.011185502479,1898.302703009981
91,4532.9603687618965,4163.737566011152,1896.9896103607389
92,4532.249579438223,4163.474990618022,1895.0398267174482
93,4531.538738389076,4163.223272459968,1892.0986855971523
94,4530.827845748543,4162.9820761664505,1890.3895008670515
95,4530.11690165092,4162.750968067718,1888.0700318756258
96,4529.405906230715,4162.52943334449,1885.7879917077303
97,4528.694859622615,4162.316894523456,1883.705532142736
98,4527.9837619614855,4162.1127818522455,1880.6008764260982
99,4527.272613382357,4161.915979706729,1878.8238881561529
100,4526.561414020414,4161.7207277492425,1876.3452877467294
101,4525.850164010986,4161.527042274167,1872.7553080755888
102,4525.138863489543,4161.334948486814,1870.6659191205727
103,4524.427512591676,4161.144246870976,1868.2440691630864
104,4523.716111453106,4160.954657207057,1866.2371250958467
105,4523.004660209663,4160.765868719878,1862.7417370021649
106,4522.293158997288,4160.57756510676,1860.2631246363644
107,4521.5816079520255,4160.389439687545,1857.8676743281085
108,4520.870007210017,4160.201205859915,1856.1900215754422
109,4520.158356907506,4160.012604637329,1853.8077787750162
110,4519.4466571808125,4159.823409994294,1851.28059719666
111,4518.7349081663515,4159.633433021257,1848.9685332342651
112,4518.02311000062,4159.442524725823,1846.985775357728
113,4517.311262820189,4159.250577869038,1844.6803771227678
114,4516.599366761706,4159.057527515939,1842.9809336376302
115,4515.8874219618965,4158.863350854725,1840.7190466857728
116,4515.175428557553,4158.668066770892,1839.1190611543798
117,4514.463386685537,4158.471734073764,1836.710780590085
118,4513.751296482776,4158.274449279453,1834.6417458387068
119,4513.039158086257,4158.07634418505,1831.621241186006
